id,latin,family,category,origin,climate,common,tempmax_celsius,tempmin_celsius,ideallight,toleratedlight,watering,use,normalized_light_need,supports_direct_sun,supports_diffused_light,supports_bright_light,light_flexibility,indoor_use_score,temp_context_score,plant_group,direct_sun_min_h_day,direct_sun_max_h_day,preferred_shadow_min_h_day,preferred_shadow_max_h_day,lux_min,lux_max,humidity_min_percent,humidity_max_percent,soil_moisture_class_0_4,drought_tolerance_0_1,sun_center_h_day,sun_range_h_day,shadow_center_h_day,shadow_range_h_day,lux_center,lux_range,humidity_center_percent,humidity_range_percent,temp_preferred_min_c,temp_preferred_max_c,temp_preferred_center_c,temp_preferred_range_c,plant_variety_cluster,plant_cluster_label,plant_light_index,bridge_cluster_id,bridge_cluster_label
112,Guzmania,Bromeliaceae,Bromeliad,Cultivar,Tropical,Guzmania; Rana,30,10,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
113,Ficus elastica,Moraceae,Ficus,Cultivar,Tropical,Rubber plant; Burgandy,30,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,30,20.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
114,Euphorbia drupifera,Euphorbiaceae,Cactus And Succulent,Guinea,Arid Tropical,N/A,35,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,12,35,23.5,23,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
115,Hedera helix,Araliaceae,Hanging,Cultivar,Subtropical,English ivy; Gold Baby,30,5,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,40.0,70.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,55.0,30.0,5,30,17.5,25,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
116,Maranta leuconeura erythroneura,Marantaceae,Hanging,Brazil,Tropical,Herringbone; Pink praying plant,28,12,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Table top,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,28,20.0,16,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
117,Hedera helix,Araliaceae,Hanging,Cultivar,Subtropical,English ivy; Hermania,30,5,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,40.0,70.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,55.0,30.0,5,30,17.5,25,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
118,Monstera deliciosa,Araceae,Philodendron,Central America,Tropical,Splitleaf Philodendron; Mexican Breadfruit,32,12,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,32,22.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
119,Mandevilla X,Apocynaceae,Flower,Hybrid,Tropical,N/A,30,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Flower; Potted plant,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,30,20.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
120,Peperomia obtusifolia,Piperaceae,Other,Venezuela,Tropical,Baby rubber plant; Pepper face,32,10,Bright light,/,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,medium_indirect,0,0,1,0,2,2,medium_indirect,1.0,4.0,4.0,7.0,1500.0,30000.0,45.0,75.0,3.5,0.25,2.5,3.0,5.5,3.0,15750.0,28500.0,60.0,30.0,10,32,21.0,22,3,cluster_3,0.2174671592775041,2,bridge_cluster_2
121,Ophiopogon japonicus,Liliaceae,Grass,Japan,Subtropical,Snakes beard,28,5,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Ground cover; Tertiary,high_light,1,0,1,1,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,40.0,70.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,55.0,30.0,5,28,16.5,23,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
122,Hedychium coronarium,Zingiberaceae,Flower,China,Subtropical,Butterfly Ginger; White Ginger,30,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Flower; Secondary,high_light,1,0,0,2,0,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,40.0,70.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,55.0,30.0,10,30,20.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
123,Hedera helix variegata,Araliaceae,Hanging,Cultivar,Subtropical,English ivy; Variegated English ivy,30,5,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,40.0,70.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,55.0,30.0,5,30,17.5,25,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
124,Pellaea falcata,Sinopteridaceae,Fern,Australia & New Guinea,Tropical,N/A,25,12,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Ground cover; Tertiary,shade_tolerant,0,1,1,1,2,1,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,60.0,90.0,4.0,0.1,0.5,1.0,8.0,2.0,4250.0,7500.0,75.0,30.0,12,25,18.5,13,5,cluster_5,0.020833333333333332,3,bridge_cluster_3
125,Hedera helix,Araliaceae,Hanging,Cultivar,Subtropical,English ivy; Garland,30,5,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,40.0,70.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,55.0,30.0,5,30,17.5,25,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
126,Hoya carnosa Exotica,Asclepiadaceae,Hanging,Cultivar,Tropical,Wax plant,28,12,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Hanging; Table top,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,28,20.0,16,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
127,Nerium oleander,Apocynaceae,Flower,Mediterranean,Subtropical,Oleander; Rose bay,30,5,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,high_light,1,0,0,1,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,40.0,70.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,55.0,30.0,5,30,17.5,25,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
128,Pachypodium geayi,Apocynaceae,Cactus And Succulent,Madagascar,Arid Tropical,Madagascar Palm,35,8,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,8,35,21.5,27,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
129,Licuala spinosa,Arecaceae,Palm,Malaysia,Tropical,Spiny licuala palm,30,15,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,high_light,1,0,1,1,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,15,30,22.5,15,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
130,Philodendron,Araceae,Philodendron,Cultivar,Tropical,Red Philodendron; Imperial Red,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,18,28,23.0,10,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
131,Neoregelia Flandria,Bromeliaceae,Bromeliad,Cultivar,Tropical,N/A,30,12,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Colors / Forms,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,30,21.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
132,Liriope muscari Variegata,Liliaceae,Foliage plant,Japan,Subtropical,Variegated lily turf,30,8,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Ground cover; Table top,high_light,1,0,1,1,2,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,40.0,70.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,55.0,30.0,8,30,19.0,22,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
133,Philodendron micans,Araceae,Philodendron,Dominica,Tropical,Velvet leaf vine,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Secondary,bright_indirect,0,1,1,1,0,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,18,28,23.0,10,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
134,Maranta leuconeura kerchoveana,Marantaceae,Hanging,Brazil,Tropical,Green prayer plant; Herringbone,28,12,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Table top,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,28,20.0,16,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
135,Neoregelia Victoria Pink,Bromeliaceae,Bromeliad,Cultivar,Tropical,N/A,30,12,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Colors / Forms,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,30,21.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
136,Nolina recurvata,Agavaceae,Foliage plant,Mexico,Arid Tropical,Elephant foot; Pony tail,32,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Primary; Potted plant,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,3.0,0.45,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,12,32,22.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
137,Philodendron,Araceae,Philodendron,Cultivar,Tropical,Lime philodendron; Moonlight,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,18,28,23.0,10,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
138,Phalaenopsis X,Orchidaceae,Flower,Hybrid,Tropical humid,N/A,28,12,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Table top; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,60.0,90.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,75.0,30.0,12,28,20.0,16,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
139,Hyophorbe verschaffeltii,Arecaceae,Palm,Rodrigue Island,Tropical,Spindle palm,35,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,35,22.5,25,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
140,Hedera helix,Araliaceae,Topiairy,Cultivar,Subtropical,English ivy,30,5,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,40.0,70.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,55.0,30.0,5,30,17.5,25,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
141,Nolina guatemalensis,Agavaceae,Foliage plant,Mexico,Arid Tropical,Elephant foot; Pony tail,32,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Primary; Potted plant,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,3.0,0.45,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,12,32,22.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
142,Medinilla magnifica,Melastomataceae,Flower,Philippines,Tropical,Rose grape,30,15,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Flower,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,15,30,22.5,15,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
143,Hibiscus rosa sinensis,Malvaceae,Flower,Asia,Tropical,Chinese hibiscus,28,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Flower; Secondary,high_light,1,0,0,2,0,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,28,19.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
144,Nephrolepis exaltata var,Nephrolepidaceae,Fern,Cultivar,Tropical,Boston fern; Sword fern,28,10,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Tertiary,shade_tolerant,0,1,1,1,0,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,60.0,90.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,75.0,30.0,10,28,19.0,18,5,cluster_5,0.020833333333333332,3,bridge_cluster_3
145,Howea forsteriana,Arecaceae,Palm,South Pacific,Tropical,Kentia palm; Paradise palm,28,12,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,4.0,0.1,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,28,20.0,16,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
146,Philodendron,Araceae,Philodendron,Cultivar,Tropical,Emerald Prince,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,18,28,23.0,10,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
147,Homalomena,Araceae,Foliage plant,Cultivar,Tropical,Emerald Gem,28,10,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,28,19.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
148,Peperomia clusiifolia,Piperaceae,Other,Cultivar,Tropical,Tricolor Peperomia,32,10,Bright light,/,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,medium_indirect,0,0,1,0,2,2,medium_indirect,1.0,4.0,4.0,7.0,1500.0,30000.0,45.0,75.0,3.5,0.25,2.5,3.0,5.5,3.0,15750.0,28500.0,60.0,30.0,10,32,21.0,22,3,cluster_3,0.2174671592775041,2,bridge_cluster_2
149,Pandorea jasminoides,Bignoniaceae,Flower,Australia,Subtropical,Bower plant; Bower of beauty,28,8,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,40.0,70.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,55.0,30.0,8,28,18.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
150,Neoregelia carolinae var.,Bromeliaceae,Bromeliad,Cultivar,Tropical,N/A,30,12,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Colors / Forms,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,30,21.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
151,Radermachera sinica,Bignoniaceae,Other,China,Subtropical,China doll,28,8,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,40.0,70.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,55.0,30.0,8,28,18.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
152,Pteris cretica Parkeri,Pteridaceae,Fern,Cultivar,Tropical humid,Cretan brake,28,12,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,medium_indirect,0,0,1,0,1,2,medium_indirect,1.0,4.0,4.0,7.0,1500.0,30000.0,60.0,90.0,4.0,0.1,2.5,3.0,5.5,3.0,15750.0,28500.0,75.0,30.0,12,28,20.0,16,3,cluster_3,0.2174671592775041,2,bridge_cluster_2
153,Polystichum tsus simense,Dryopteridaceae,Fern,Korea,Subtropical,Korean rock fern; Tsu sima holly fern,28,-5,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,medium_indirect,0,0,1,0,1,2,medium_indirect,1.0,4.0,4.0,7.0,1500.0,30000.0,60.0,90.0,4.0,0.1,2.5,3.0,5.5,3.0,15750.0,28500.0,75.0,30.0,-5,28,11.5,33,3,cluster_3,0.2174671592775041,2,bridge_cluster_2
154,Polystichum polyblepharum,Dryopteridaceae,Fern,Japan,Subtropical,Japanese tassel fern,28,-5,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,medium_indirect,0,0,1,0,1,2,medium_indirect,1.0,4.0,4.0,7.0,1500.0,30000.0,60.0,90.0,4.0,0.1,2.5,3.0,5.5,3.0,15750.0,28500.0,75.0,30.0,-5,28,11.5,33,3,cluster_3,0.2174671592775041,2,bridge_cluster_2
155,Ravenea rivularis,Arecaceae,Palm,Madagascar,Tropical,Majesty palm,30,8,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,8,30,19.0,22,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
156,Polyscias scutellaria,Araliaceae,Aralia,Asia,Tropical,Fabian Aralia; Red Aralia,30,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,12,30,21.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
157,Pteris cretica Albo lineata,Pteridaceae,Fern,Cultivar,Tropical humid,Silver Ribbon Fern,28,12,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,medium_indirect,0,0,1,0,1,2,medium_indirect,1.0,4.0,4.0,7.0,1500.0,30000.0,60.0,90.0,4.0,0.1,2.5,3.0,5.5,3.0,15750.0,28500.0,75.0,30.0,12,28,20.0,16,3,cluster_3,0.2174671592775041,2,bridge_cluster_2
158,Platycerium bifurcatum,Polypodiaceae,Fern,Australia,Tropical,Staghorn fern,30,5,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Tertiary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,60.0,90.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,75.0,30.0,5,30,17.5,25,5,cluster_5,0.020833333333333332,3,bridge_cluster_3
159,Philodendron Xanadu,Araceae,Philodendron,Cultivar,Tropical,N/A,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,18,28,23.0,10,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
160,Polyscias pinnatta,Araliaceae,Aralia,Cultivar,Tropical,Balfour aralia; Aralia Balfouriana; Lemon Lime,30,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,12,30,21.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
161,Philodendron Tatei Congo,Araceae,Philodendron,Cultivar,Tropical,N/A,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,18,28,23.0,10,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
162,Sansevieria trifasciata Laurentii,Liliaceae,Sansevieria,South Africa,Tropical,Snake plant,35,10,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,35,22.5,25,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
163,Philodendron pinnatifidum,Araceae,Philodendron,Venezuela,Tropical,Fernleaf Philodendron,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,18,28,23.0,10,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
164,Podocarpus gracilior,Podocarpaceae,Foliage plant,Central Africa,Subtropical,African fern pine; Buddhist pine,30,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,40.0,70.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,55.0,30.0,10,30,20.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
165,Sansevieria trifasciata Hahnii,Liliaceae,Sansevieria,Cultivar,Tropical,Birdnest sansevieria; Snake plant,35,10,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,35,22.5,25,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
166,Sansevieria trifasciata,Liliaceae,Sansevieria,South Africa,Subtropical,Snake plant,35,10,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Primary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,40.0,70.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,55.0,30.0,10,35,22.5,25,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
167,Polyscias crispata,Araliaceae,Aralia,Malaysia,Tropical,Chicken gizard aralia,30,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,12,30,21.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
168,Phoenix roebellinii,Palmae,Palm,Vietnam,Tropical,Pignee Date palm,28,8,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,high_light,1,0,0,1,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,8,28,18.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
169,Polyscias pinnata Marginata,Araliaceae,Aralia,Cultivar,Tropical,Variegated Balfour aralia; Aralia Balfouriana,30,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,12,30,21.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
